state,Hillary Clinton,Bernie Sanders,Ben Carson,Ted Cruz,Carly Fiorina,Mike Huckabee,Rand Paul,Marco Rubio,Jeb Bush,Scott Walker,Chris Christie,Lindsey Graham,Rick Santorum,Martin O'Malley,George Pataki,Rick Perry,Lincoln Chafee
Vermont ,55.46,100,7.14,20,3.43,1.71,14.87,5.43,7.43,4,4.29,3.14,2,0.86,2.29,0.86,0
District of Columbia ,47.53,13.06,7.81,18.99,5.33,2.26,13.78,12.1,10.36,4.49,5.44,3.99,3.57,1.31,1.55,2.44,1.62
New Hampshire ,39.74,25.08,7,22.8,6.67,3.91,15.31,6.02,5.37,4.23,6.35,4.23,3.26,1.3,2.77,1.3,1.14
Iowa ,35.26,10.43,7.35,14.21,4.21,4.28,13.36,6.92,3.78,4.78,2.78,2,3.57,1.07,0.36,2.28,1
Montana ,32.73,13.38,6.19,15.86,3.72,5.21,10.9,6.94,3.96,2.73,2.97,1.24,2.97,0,0.74,1.73,0
Wyoming ,32.67,10.89,4.45,13.37,3.96,3.96,9.4,6.44,2.47,3.96,2.47,2.97,3.47,0,0,0,0
Rhode Island ,32.25,14.22,3.94,12.68,3.77,2.06,9.6,6,7.02,2.91,2.23,1.54,1.71,0.69,0,1.88,11.82
Connecticut ,32.16,12.24,4.23,12.81,3.64,1.94,10.06,6.35,4.52,2.88,3,1.35,1.53,0.47,0.94,0.7,1.06
Massachusetts ,31.82,13.24,4.01,14.27,3.99,1.73,8.88,6.23,5.42,2.7,2.85,2.07,2.16,0.54,0.45,1.14,0.78
Maryland ,31.8,11.52,10.89,14.66,3.79,1.75,8.91,6.64,5.25,2.82,2.52,2.56,2.52,2.14,0.78,1.52,1.04
Maine ,31.79,19.83,5.16,11.92,2.9,1.77,9.34,4.67,5.48,2.9,3.87,1.45,2.58,1.13,0,1.13,1.45
New York ,30.88,9.13,4.2,12.04,2.79,1.8,7.5,6.41,4.75,2.34,3.6,1.65,1.77,0.51,1.74,1.33,0.59
Arkansas ,30.77,6.84,7.63,10.09,2.92,12,8.75,5.61,2.8,2.13,1.01,1.79,1.12,0,0.78,0.67,0.56
Delaware ,29.5,10.03,10.62,19.77,3.83,1.47,15.05,7.08,4.42,2.65,5.9,2.06,2.36,0,0.88,0,0.88
Nebraska ,29.16,8.84,6.14,11.82,2.79,2.05,7.73,6.05,2.88,2.7,1.3,1.67,2.33,0.37,0,1.3,0.47
North Dakota ,28.47,7.11,8.08,14.22,1.94,1.94,8.08,2.91,3.23,3.55,1.62,0.97,1.29,0.97,0,0,0
West Virginia ,28.34,8.35,7.04,13.26,1.8,4.58,13.59,5.24,4.58,1.8,1.96,1.15,2.45,0.49,0.65,1.31,0.98
South Dakota ,28.29,6.29,7.68,11.52,3.49,2.44,8.38,4.54,3.49,3.49,1.4,1.05,2.79,0,0,0,0
Washington ,27.68,12.5,4.4,12.01,3.34,1.81,8.53,5.12,4.2,2.89,1.42,1.3,2.02,0.45,0.28,1.24,0.37
New Jersey ,27.18,8.9,4.84,11.97,3.32,1.52,7.02,5.49,4.58,2.42,18.3,1.29,1.76,0.36,0.91,0.93,0.61
New Mexico ,27.18,10.63,2.45,11.99,2.04,3.13,7.63,7.22,3.41,2.32,1.77,1.63,1.36,0,0,0.54,0
Pennsylvania ,27.01,9.31,5.72,11.64,3.21,1.83,8.96,6.11,4.48,2.11,3.98,1.63,3.28,0.61,0.54,1.12,0.62
South Carolina ,25.62,5.2,7.97,11.34,3.27,2.54,8.82,4.56,3.14,2.49,1.63,8.3,1.93,0.34,0.43,1.76,0.52
Indiana ,25.61,7.65,6.58,11.27,3.82,2.04,9.4,5.82,4.63,2.34,1.7,1.66,1.53,0.55,0.42,0.98,0.42
Minnesota ,25.58,9.36,4.12,10.63,2.61,1.71,7.63,4.45,4.2,4.85,1.18,1.29,2.32,0.42,0.36,0.92,0.5
Ohio ,25.25,7.93,5.16,10.6,2.65,1.87,9.21,4.86,3.58,2.37,1.46,1.52,1.58,0.43,0.48,1.02,0.41
Mississippi ,25.11,7.73,9.46,11.36,5.2,3.15,10.72,4.73,4.26,2.52,2.68,1.73,1.58,0,0,0.79,0
California ,24.89,8.03,3.61,10.22,2.68,1.43,6.88,4.99,3.94,2.19,1.84,1.26,1.53,0.4,0.4,0.96,0.45
Colorado ,24.74,9.69,4.99,11.44,2.48,1.8,8.46,4.96,3.73,2.51,1.56,1.96,2.14,0.28,0.4,1.29,0.34
Oklahoma ,24.71,6.37,5.89,13.38,2.15,2.55,8.46,8.31,4.62,2.36,1.82,1.64,1.38,0.33,0.4,0.98,0.22
Idaho ,24.59,11.09,9.6,12.59,3.15,2.25,8.55,5.4,2.85,2.7,2.25,1.35,1.8,0.45,0.45,0.6,0.6
Nevada ,24.41,8.63,3.8,10.66,1.97,1.97,8.31,5.2,4.06,2.03,1.14,1.27,1.84,0.19,0.32,1.27,0.44
Kentucky ,24.22,7,6.56,9.33,2.1,2.28,15.42,5.34,4.05,1.88,1.69,1.69,1.66,0.52,0.26,1.36,0.4
Alabama ,24.21,7.01,9.39,10.64,3.17,2.31,8.8,7.27,4.62,2.58,1.32,2.05,1.39,0.26,0.26,1.12,0.46
Illinois ,24.17,7.64,4.21,9.87,2.62,1.64,6.7,4.78,3.72,2.96,1.49,1.41,1.77,0.37,0.37,1.11,0.39
Tennessee ,23.92,6.7,7.05,11.17,2.26,2.76,8.69,5.42,3.75,2.6,1.62,1.51,1.83,0.35,0.43,0.96,0.27
Alaska ,23.84,9.41,6.59,13.49,2.51,2.2,5.65,4.71,1.88,7.22,0,1.57,2.82,0.94,0,0.94,0
Arizona ,23.84,7.61,4.78,10.85,3.18,2.04,7.58,6.13,4.11,2.35,1.83,1.39,1.6,0.65,0.28,1.14,0.41
Florida ,23.4,6.98,5.76,11.13,2.74,1.86,7.34,12.21,6.02,2.05,1.37,1.43,1.26,0.33,0.51,1.04,0.41
Michigan ,23.17,8.13,6.56,10.49,2.65,1.47,7.64,4.96,3.45,2.18,1.47,1,1.59,0.1,0.26,0.9,0.41
Wisconsin ,22.42,9.24,4.42,8.64,1.96,1.51,7.6,3.35,3.17,33.38,1.69,0.8,1.96,0.36,0.3,1.07,0.3
North Carolina ,22.35,6.82,7.48,9.99,3.26,1.93,7.23,5,3.84,2.13,1.71,2.32,1.68,0.36,0.45,0.85,0.4
Hawaii ,21.89,8.44,3.74,9.5,2.01,0.86,6.23,5.18,3.16,1.92,1.05,0.86,1.15,0.38,0.29,0.67,0.38
Utah ,21.83,6.11,5.14,11.7,2.38,1.22,6.11,5.79,3.21,2.12,1.29,1.22,1.41,0.32,0,0.77,0.45
Missouri ,21.78,7.83,5.55,10.62,3,1.85,8.19,5.53,3.42,2.07,1.44,1.59,1.75,0.13,0.35,1.24,0.45
Kansas ,21.72,8.8,5.53,10.94,2.64,2.26,6.28,4.02,3.83,1.82,1.32,1.19,1.38,0.38,0.57,1.63,0.38
Texas ,21.38,5.16,4.87,16.19,2.56,1.79,6.44,4.62,3.75,1.75,1.06,1.3,1.29,0.29,0.2,3.32,0.28
Louisiana ,21.25,6.79,5.77,10.93,2.89,2.72,7.53,4.58,2.77,1.81,0.74,1.02,0.96,0.34,0.28,1.07,0.34
Georgia ,20.54,5.35,6.37,8.82,2.22,1.87,6.49,4.62,3.21,1.85,1.3,1.34,0.95,0.41,0.36,0.98,0.36
Oregon ,15.32,6.87,2.1,6.55,1.4,1.12,4.57,2.83,2.27,1.12,0.9,0.9,1.1,0.29,0.19,0.5,0.33
Virginia ,13.99,4.2,3.46,6.26,1.81,0.89,4.5,3.34,2.31,1.36,1.37,1.01,0.94,0.4,0.18,0.61,0.36